Time(s)    x(m)   y(m)   vx(m/s)   vy(m/s) 
 8.35 260.7775851924647 -34.81670057744497 20.43085735610461 -22.48447113667484
  8.4 261.7991211018379 -35.94467005456954 20.43074489461724 -22.6340238023684
8.450000000000001 262.8206761068553 -37.08007456516405 20.43161793391328 -22.78187292793997
  8.5 263.8422989966284 -38.222829002817 20.43345706222745 -22.9280213915042
8.550000000000001 264.8640375934854 -39.37284841313237 20.4362430200862 -23.07247239476544
  8.6 265.8859387606021 -40.53004800978798 20.43995670097332 -23.21522945814985
 8.65 266.9080484096668 -41.69434319034745 20.44457915204445 -23.3562964158269
8.700000000000001 267.9304115085831 -42.86564955182079 20.45009157488469 -23.49567741062607
 8.75 268.9530720892115 -44.04388290596823 20.45647532630439 -23.63337688885461
8.800000000000001 269.9760732551506 -45.22895929434257 20.46371191916798 -23.7693995950222
 8.85 270.9994571895611 -46.42079500306563 20.47178302325088 -23.90375056647851
  8.9 272.023265163034 -47.61930657733444 20.48067046611976 -24.03643512796947
8.950000000000001 273.0475375415018 -48.82441083565342 20.49035623403178 -24.16745888611834
    9 274.0723137941964 -50.03602488378878 20.50082247284796 -24.2968277238373
9.050000000000001 275.0976325016518 -51.25406612844198 20.512051488957 -24.42454779467551
  9.1 276.1235313637542 -52.47845229063899 20.52402575020488 -24.55062551710952
 9.15 277.1500472078378 -53.70910141883285 20.53672788682677 -24.67506756878159
9.200000000000001 278.1772159968278 -54.94593190171698 20.5501406923772 -24.79788088069186
 9.25 279.2050728374293 -56.18886248074696 20.56424712465502 -24.91907263134968
9.300000000000001 280.2336519883625 -57.43781226236908 20.57903030661959 -25.03865024088988
 9.35 281.2629868686437 -58.69270072995383 20.59447352729505 -25.15662136515918
  9.4 282.2931100659103 -59.95344775543318 20.61056024265934 -25.27299388977823
9.450000000000001 283.3240533447908 -61.21997361064044 20.62727407651521 -25.3877759241843
  9.5 284.3558476553172 -62.49219897835176 20.64459882134023 -25.50097579565982
9.550000000000001 285.3885231413794 -63.770044963029 20.66251843911317 -25.61260204335171
9.600000000000001 286.4221091492207 -65.05343310126328 20.68101706211429 -25.72266341228627
 9.65 287.4566342359717 -66.34228537191933 20.70007899369703 -25.83116884738441
9.700000000000001 288.4921261782237 -67.63652420598065 20.71968870902907 -25.93812748748174
 9.75 289.5286119806358 -68.93607249609607 20.73983085580047 -26.04354865935798
9.800000000000001 290.5661178845793 -70.24085360582778 20.7604902548971 -26.14744187177993
9.850000000000001 291.6046693768127 -71.55079137860226 20.78165190103749 -26.24981680956224
  9.9 292.644291198189 -72.86581014636455 20.80330096337144 -26.35068332764996
9.950000000000001 293.6850073523912 -74.18583473793744 20.82542278603887 -26.45005144522672
   10 294.7268411146948 -75.51079048708665 20.84800288868754 -26.54793133985227
10.05 295.7698150407554 -76.84060324029377 20.87102696694825 -26.64433334163306
 10.1 296.8139509754191 -78.17519936423861 20.89448089286653 -26.73926792742917
10.15 297.8592700615521 -79.51450575299283 20.91835071528963 -26.83274571510102
 10.2 298.9057927488909 -80.85844983492716 20.94262266020806 -26.92477745779893
10.25 299.9535388029062 -82.20695957933391 20.96728313105071 -27.01537403829868
 10.3 301.0025273136812 -83.55996350276773 20.99231870893298 -27.10454646338579
10.35 302.0527767048013 -84.91739067510676 21.01771615285731 -27.19230585829142
 10.4 303.1043047422527 -86.27917072533695 21.04346239986556 -27.27866346118246
10.45 304.1571285433266 -87.64523384706226 21.06954456514298 -27.36363061770825
 10.5 305.2112645855287 -89.01551080374361 21.09594994207334 -27.4472187756063
10.55 306.266728715489 -90.38993293366985 21.12266600224522 -27.52943947936934
 10.6 307.3235361578709 -91.76843215466337 21.14968039540907 -27.61030436497557
10.65 308.3817015242779 -93.15094096852408 21.17698094938532 -27.68982515468428
 10.7 309.4412388221534 -94.53739246521467 21.20455566992342 -27.76801365189862
10.75 310.5021614636725 -95.92772032679088 21.23239274051192 -27.84488173609722
 10.8 311.5644822746236 -97.32185883107999 21.26048052213996 -27.92044135783628
10.85 312.6282135032758 -98.71974285511128 21.28880755301029 -27.99470453382359
 10.9 313.693366829232 -100.1213078783019 21.31736254820429 -28.06768334206598
10.95 314.7599533722635 -101.5264899854022 21.34613439929926 -28.13938991709134
   11 315.8279837011234 -102.9352258692037 21.37511217393862 -28.2098364452464
11.05 316.8974678423396 -104.3474528330144 21.40428511535539 -28.27903516007136
 11.1 317.9684152889799 -105.763108792904 21.43364264184963 -28.34699833775232
11.15 319.0408350093926 -107.1821322797245 21.46317434622045 -28.41373829265238
 11.2 320.1147354559152 -108.604462440909 21.49286999515319 -28.47926737292211
11.25 321.1901245735534 -110.0300390420527 21.52271952856264 -28.54359795619012
 11.3 322.2670098086248 -111.458802468281 21.55271305889293 -28.60674244533431
11.35 323.3453981173669 -112.8906937254077 21.58284087037494 -28.66871326433427
 11.4 324.4252959745075 -114.3256544408884 21.61309341824202 -28.72952285420524
11.45 325.5067093817937 -115.7636268645721 21.64346132790506 -28.78918366901395
 11.5 326.5896438764798 -117.2045538692561 21.6739353940875 -28.84770817197662
11.55 327.6741045397703 -118.6483789510473 21.7045065799215 -28.90510883163925
 11.6 328.760096005217 -120.0950462295352 21.73516601600605 -28.96139811814038
11.65 329.8476224670679 -121.5445004477798 21.76590499942808 -29.01658849955619
 11.7 330.9366876885667 -122.9966869721186 21.79671499274741 -29.0706924383281
11.75 332.0272950102 -124.4515517917975 21.82758762294679 -29.12372238777261
 11.8 333.1194473578914 -125.9090415184289 21.85851468034783 -29.17569078867333
11.85 334.213147251141 -127.3691033852818 21.88948811749396 -29.22661006595481
 11.9 335.308396811108 -128.8316852464069 21.92050004800146 -29.27649262543816
11.95 336.4051977686343 -130.2967355756024 21.9515427453796 -29.3253508506778
   12 337.5035514722097 -131.7642034652232 21.98260864182096 -29.37319709987921
12.05 338.6034588958748 -133.234038624838 22.01369032696298 -29.42004370289707
 12.1 339.704920647062 -134.7061913797385 22.04478054662188 -29.46590295831345
12.15 340.807936974372 -136.1806126693043 22.07587220149988 -29.51078713059537
 12.2 341.9125077752854 -137.6572540452277 22.10695834586702 -29.55470844733129
12.25 343.0186326038079 -139.1360676696022 22.13803218621837 -29.5976790965458
 12.3 344.1263106780466 -140.6170063128793 22.16908707990799 -29.63971122409191
12.35 345.2355408877191 -142.1000233516957 22.20011653376046 -29.68081693112031
 12.4 346.346321801592 -143.5850727665768 22.23111420266127 -29.72100827162472
12.45 347.4586516748474 -145.0721091395192 22.26207388812688 -29.76029725006278
 12.5 348.5725284563792 -146.5610876514557 22.29298953685575 -29.79869581905147
12.55 349.6879497960152 -148.0519640796072 22.32385523926115 -29.83621587713645
 12.6 350.8049130516658 -149.5446947947253 22.35466522798698 -29.87286926663431
12.65 351.9234152963981 -151.0392367582278 22.38541387640748 -29.90866777154703
 12.7 353.0434533254348 -152.5355475192328 22.4160956971119 -29.94362311554755
12.75 354.1650236630764 -154.0335852114931 22.44670534037512 -29.97774696003579
 12.8 355.2881225695472 -155.5333085502354 22.47723759261521 -30.01105090226397
12.85 356.4127460477638 -157.0346768289078 22.50768737483887 -30.04354647353043
 12.9 357.538889850025 -158.5376499158378 22.53804974107573 -30.07524513744088
12.95 358.6665494846242 -160.0421882508061 22.56831987680247 -30.10615828823622
   13 359.7957202223814 -161.5482528415376 22.59849309735767 -30.13629724918581
13.05 360.9263971030969 -163.0558052601143 22.62856484634822 -30.16567327104525
 13.1 362.0585749419251 -164.564807639312 22.65853069404837 -30.1942975305777
13.15 363.1922483356672 -166.0752226688652 22.68838633579208 -30.22218112913762
 13.2 364.3274116689839 -167.5870135916628 22.71812759035971 -30.24933509131597
13.25 365.4640591205271 -169.1001441998768 22.74775039835978 -30.27577036364575
 13.3 366.6021846689914 -170.6145788310286 22.77725082060663 -30.30149781336701
